player_name,position,height,height_with_shoes,weight,wingspan,draft_year
Julian Phillips,SF,200.02,202.56,89.18,212.09,2023
Duane Washington Jr.,SG,188.6,192.4,89.27,202.56,2021
Marial Shayok,SF/PF,194.31,196.85,89.27,214,2019
Jay Williams,PG,183.52,186.06,89.36,191.77,2002
CJ McCollum,PG/SG,188.6,191.14,89.36,198.76,2013
Ronald Murray,SG,190.5,193.04,89.36,201.93,2002
Michael Hicks,SG,193.04,195.58,89.36,206.38,2001
Hamidou Diallo,SG,193.68,198.12,89.36,212.09,2018
Mike Williams,SF,196.85,199.39,89.36,212.09,2004
Preston Shumpert,SF,198.12,200.66,89.36,204.47,2002
Daniel Hamilton,SG/SF,198.76,203.2,89.36,205.74,2016
Anthony Randolph,PF/SF,205.74,208.92,89.36,220.98,2008
Austin Reaves,SG,194.31,197.48,89.45,198.76,2021
Ricky Ledo,SG,194.94,198.12,89.45,201.3,2013
Hamidou Diallo,SG/SF,192.4,195.58,89.54,211.46,2017
Vander Blue,SG,191.77,196.22,89.54,198.12,2013
Allen Crabbe,SG,196.22,198.76,89.54,211.46,2013
Dan Langhi,SF,205.74,208.28,89.58,203.2,2000
Andrew Goudelock,PG,186.06,189.86,89.63,193.68,2011
Jarrett Jack,PG,189.23,191.77,89.63,201.93,2005
Otto Porter,SF,201.93,204.47,89.63,217.17,2013
Jalen Pickett,PG,187.96,190.5,89.72,201.3,2023
Kevin McCullar,SF,200.66,203.2,96.15,205.74,2023
Daniel Horton,PG/SG,184.15,188.6,89.81,200.66,2006
DeMarcus Nelson,PG/SG,185.42,188.6,89.81,208.28,2008
Nick Johnson,SG,186.69,190.5,89.81,201.3,2014
Jerian Grant,PG,191.14,193.68,89.81,201.93,2015
